age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,3,2491,1,1,0,1,4,1,24,0,8,38,0
33,2,2727,1,0,3,0,4,1,0,0,0,38,0
21,1,13188,3,2,5,1,4,1,0,0,8,38,0
36,1,14354,3,0,5,0,2,1,0,0,8,38,0
11,1,18120,1,0,9,5,2,0,0,0,8,4,0
20,1,16567,4,0,3,5,4,0,0,0,8,38,0
32,1,7982,3,0,7,1,2,0,0,0,0,22,0
35,2,12746,3,0,3,0,4,1,0,0,13,38,1
14,1,1225,4,1,9,1,4,0,104,0,18,38,1
25,1,7908,1,0,3,0,4,1,78,0,8,38,1
20,1,16411,8,0,3,0,2,1,0,0,21,38,1
13,3,6629,1,0,9,0,1,1,0,0,8,18,1
6,1,5399,1,1,0,3,4,0,0,0,0,38,0
15,1,12364,0,1,11,1,2,1,0,0,18,38,0
17,1,14951,6,0,13,0,0,1,0,0,13,25,0
8,2,9507,3,1,4,3,4,1,0,0,3,38,0
15,1,10533,3,1,6,4,4,1,0,0,8,38,0
21,1,292,3,0,11,0,4,1,0,0,18,38,0
26,2,16831,4,2,3,4,4,0,0,0,13,38,1
23,1,11280,2,0,9,0,4,1,0,0,21,38,1
37,1,17134,3,2,7,4,2,0,0,0,0,38,0
18,3,2457,3,0,4,0,2,1,0,0,8,38,0
26,1,4963,3,0,13,0,4,1,0,54,8,38,0
42,1,4309,3,2,12,4,4,0,0,0,8,38,0
39,3,13274,1,0,12,0,4,1,0,0,8,38,1
2,1,8667,3,1,2,3,4,1,0,0,8,38,0
22,1,18795,3,2,3,1,4,1,0,0,21,38,0
32,1,11265,3,0,2,0,4,1,0,0,8,38,0
6,3,10970,0,1,10,1,4,1,0,0,20,38,0
3,1,15818,8,1,11,3,2,1,0,0,12,38,0
28,1,19113,1,2,3,3,4,1,0,15,8,38,0
13,3,1847,8,0,0,3,4,1,0,0,8,38,0
5,3,17406,8,0,7,0,2,1,0,0,0,38,0
31,1,14788,3,1,6,4,4,1,0,0,8,32,0
4,1,11626,8,1,6,3,4,1,0,0,8,38,0
2,1,19494,3,0,0,5,4,0,0,0,0,38,0
31,2,15799,0,0,9,0,4,1,0,0,8,38,0
14,1,19494,3,0,6,0,4,1,0,0,11,38,0
36,2,2958,1,0,9,0,4,1,0,0,8,38,0
7,1,9091,1,0,12,0,4,1,0,0,18,38,0
32,1,3244,3,2,0,4,4,0,0,0,8,38,0
8,1,16763,3,1,5,1,4,1,0,0,3,38,0
40,3,18104,1,0,9,0,2,1,0,0,8,38,1
36,1,6863,3,0,6,0,4,1,0,0,6,38,0
27,1,5814,4,2,3,4,4,0,0,0,8,38,0
24,3,3722,0,0,2,0,4,1,0,0,8,38,0
12,1,16051,0,1,9,1,4,1,0,0,11,38,0
8,1,513,8,0,3,5,3,0,0,0,8,38,0
30,1,1494,7,0,9,5,4,0,0,47,21,15,1
33,3,15228,1,2,3,1,4,1,0,0,21,38,1
30,2,4375,3,2,3,1,4,1,0,0,21,38,0
26,1,14545,8,0,12,0,4,1,0,0,8,38,1
29,1,13258,6,0,6,0,4,1,0,0,8,25,0
18,1,1710,0,0,7,0,4,1,0,0,8,32,0
24,1,7069,3,0,0,0,4,1,0,0,16,38,0
13,1,10691,3,0,6,0,4,1,76,0,8,38,0
13,1,1834,1,0,11,0,4,1,33,0,8,38,0
31,1,7225,3,0,13,0,4,1,0,0,8,38,0
25,1,4927,2,0,9,0,4,1,0,0,13,38,1
12,1,4041,8,2,12,1,4,1,0,0,21,38,0
19,1,7641,3,0,2,0,4,1,0,0,8,38,0
11,1,10159,8,2,0,1,4,0,0,0,8,38,0
36,1,8809,3,0,0,5,4,0,0,0,8,38,1
32,2,11073,8,0,3,0,4,1,0,0,18,38,1
2,1,3712,8,1,9,3,4,1,0,0,0,38,0
14,1,17370,1,2,11,3,2,0,0,0,8,38,0
12,2,8142,1,0,11,0,4,1,0,0,21,38,1
6,1,12904,8,1,6,1,4,1,0,0,8,38,0
59,1,5562,8,0,9,2,4,1,0,0,0,38,0
10,1,13073,3,1,7,3,4,1,0,0,8,25,0
23,1,508,0,0,0,0,4,1,0,0,8,38,0
1,1,17365,3,1,7,3,4,0,0,0,0,38,0
14,3,5644,6,0,4,0,4,1,0,0,8,38,0
1,1,19494,3,1,11,1,4,1,0,0,0,38,0
35,1,16246,1,0,7,0,4,1,0,0,8,4,0
29,1,1485,3,0,7,5,4,0,0,0,8,38,0
42,1,7958,3,0,11,0,4,1,0,0,16,38,0
27,1,18275,3,2,2,1,4,0,105,0,8,38,1
36,1,18352,3,2,11,3,4,0,0,0,3,38,0
32,3,15929,3,0,10,0,4,1,0,0,8,38,1
